track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5J5w61c4TVxVwU78KdDGdx,Taylor Swift,,Style,0.0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['pop']
5OndtwLGA9O6XHFcGm2H7r,Taylor Swift,,Out Of The Woods,57.0,0,False,0.552,0.842,7.0,0.0,1.0,0.0373,0.00103,1.17e-05,0.337,0.343,91.991,4.0,['pop']
11j9B5N8LJoxXQPRpjae9R,Taylor Swift,,Teardrops On My Guitar - Pop Version,31.0,0,False,0.464,0.742,10.0,0.0,1.0,0.0539,0.0456,0.0,0.0755,0.485,199.909,4.0,['pop']
6D5pfooPP6hi99RaXjkDsP,Lana Del Rey,,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,0.0,0,False,0.567,0.813,1.0,0.0,0.0,0.0581,0.0138,9.03e-06,0.125,0.114,126.044,4.0,"['art pop', 'pop']"
7CzxXgQXurKZCyHz9ufbo1,Taylor Swift,,I'm Only Me When I'm With You,57.0,0,False,0.563,0.934,8.0,0.0,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,4.0,['pop']
1hJXpII24ReABFg8Ig6k7w,Mitski,,Abbey,67.0,0,False,0.287,0.203,11.0,0.0,1.0,0.0396,0.835,0.0,0.128,0.238,75.663,3.0,"['brooklyn indie', 'pov: indie']"
0IpbLjg5HE1Ju4k1rhYqvp,BTS,,Dynamite - Slow Jam Remix,0.0,0,False,0.653,0.683,4.0,0.0,1.0,0.0398,0.36,1e-06,0.324,0.534,113.977,4.0,"['k-pop', 'k-pop boy group', 'pop']"
3bIxTsfeNMO7Nt2J3EUKrA,Taylor Swift,,22,55.0,0,False,0.658,0.729,7.0,0.0,1.0,0.0378,0.00215,0.0013,0.0752,0.668,104.007,4.0,['pop']
1QQii3pa5m8MEda0nbkjfw,Taylor Swift,,Mastermind,64.0,0,False,0.661,0.345,4.0,0.0,1.0,0.144,0.545,0.000915,0.0871,0.126,125.977,4.0,['pop']
6aHCXTCkPiB4zgXKpB7BHS,BTS,,Trivia 承 : Love,0.0,0,False,0.761,0.761,5.0,0.0,0.0,0.0897,0.246,0.0,0.103,0.483,121.972,4.0,"['k-pop', 'k-pop boy group', 'pop']"
3kR1DF3AAFCzOtzMIErJ4H,Hozier,,Foreigner's God,44.0,0,False,0.503,0.445,8.0,0.0,1.0,0.0292,0.163,0.000475,0.111,0.382,88.866,4.0,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
0mt02gJ425Xjm7c3jYkOBn,Lana Del Rey,,Lust For Life (with The Weeknd),73.0,0,False,0.504,0.655,0.0,0.0,0.0,0.0542,0.604,0.00193,0.364,0.262,99.982,4.0,"['art pop', 'pop']"
6IIcLzR05sN1gk4ngzz7Kk,Lorde,,Supercut,0.0,0,False,0.562,0.437,0.0,0.0,1.0,0.052,0.219,2.18e-05,0.0806,0.15,124.852,4.0,"['art pop', 'metropopolis', 'nz pop', 'pop']"
6rXvxz68x3FqXSdUabupFl,Hozier,,Angel Of Small Death & The Codeine Scene,48.0,0,False,0.377,0.638,4.0,0.0,1.0,0.0545,0.213,7.97e-05,0.12,0.369,92.644,4.0,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
6OqrJqDMu15AGJHJazg9Nr,Dua Lipa,,Levitating (feat. DaBaby),0.0,0,False,0.702,0.825,6.0,0.0,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4.0,"['dance pop', 'pop', 'uk pop']"
2vfgmmnUDkZNs75AJm7lev,Stray Kids,,Question,53.0,0,False,0.772,0.814,4.0,0.0,0.0,0.0793,0.0179,0.0,0.0808,0.531,98.026,4.0,"['k-pop', 'k-pop boy group', 'pop']"
