track_id,genres,track_artists,tempo,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,name
6qwEx0TQJMEqvQdN8hRZDx,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",Cigarettes After Sex,96.556,0.387,4.0,0.0,1.0,4.0,0.0279,0.44,0.267,0.148,0.0844,0.559,Truly
4wox6emdE5yzgiyN3evNmd,"['dance pop', 'pop', 'uk pop']",Dua Lipa,128.028,0.947,4.0,34.0,0.0,4.0,0.0481,0.601,0.692,0.00237,0.109,0.306,Break My Heart - Jax Jones Midnight Snack Remix
6qnM0XXPZOINWA778uNqQ9,['pop'],Taylor Swift,117.024,0.634,7.0,58.0,1.0,4.0,0.0324,0.793,0.615,0.038,0.304,1.76e-06,Welcome To New York
3VSYkAf6f46i5ZkXOHORq1,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",Cigarettes After Sex,96.321,0.511,6.0,4.0,1.0,4.0,0.0274,0.448,0.112,0.362,0.129,0.823,Sweet
6f5TuB9WtbA1g49A4DcMQ4,['pop'],Ariana Grande,108.801,0.456,1.0,0.0,0.0,4.0,0.0684,0.813,0.587,0.169,0.105,2.86e-06,Be Alright
5gmP04MVie9LKK0XLB0KEe,"['latin worship', 'peruvian indie', 'rock cristiano']",TWICE,58.559,0.283,3.0,21.0,1.0,4.0,0.0293,0.45,0.256,0.887,0.086,0.0,Abrázame
2ByBBvpR9b7IynvRmnG7kG,['pop'],Taylor Swift,103.96,0.386,4.0,74.0,1.0,4.0,0.0297,0.771,0.239,0.276,0.121,2.01e-05,Clean (Taylor's Version)
35rdVq36LMHQX0Suw9a6tK,['pop'],Taylor Swift,151.884,0.704,9.0,62.0,1.0,5.0,0.245,0.689,0.92,0.835,0.134,4.83e-06,closure
5kMAugdkH2coRHRnW5FuDb,"['art pop', 'pop']",Lana Del Rey,171.564,0.636,4.0,57.0,0.0,4.0,0.0424,0.316,0.4,0.186,0.198,0.00016,Born To Die
2b7aqGkXjVARTFcA0ivbjZ,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Hozier,99.39,0.313,9.0,36.0,0.0,4.0,0.0569,0.476,0.306,0.927,0.663,2.03e-06,In a Week - Live From Spotify London
2aI2k39nfa3KFsa4JclQzw,"['k-pop', 'k-pop girl group', 'pop']",BLACKPINK,139.931,0.859,4.0,0.0,0.0,4.0,0.0833,0.671,0.39,0.0313,0.267,0.0,DDU-DU DDU-DU
10OyIs6KCOmDO19J5wWFPx,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,140.047,0.56,2.0,54.0,0.0,3.0,0.0336,0.403,0.153,0.0157,0.931,3.77e-06,Call Out My Name - Live
0NWqNXBJTpXbkI5rPWNy3p,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,120.021,0.417,8.0,62.0,0.0,4.0,0.074,0.467,0.171,0.421,0.102,0.000202,All I Know
5UPwc30oJ4KhQYctNfv34x,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,119.98,0.278,2.0,0.0,0.0,3.0,0.0372,0.483,0.369,0.438,0.0767,0.0,Earned It (Fifty Shades Of Grey)
6QOU3FhUkPeA2RtaXcvgi7,"['art pop', 'pop']",Lana Del Rey,138.004,0.842,2.0,52.0,0.0,4.0,0.0925,0.534,0.441,0.0904,0.203,0.0388,This Is What Makes Us Girls
1VNWdmXSbaNrnWod10WIL0,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,87.521,0.652,8.0,82.0,1.0,4.0,0.0325,0.531,0.179,0.0524,0.162,1.39e-06,"One Of The Girls (with JENNIE, Lily Rose Depp)"
