track_name,artists,spotify_id,release_date,release_date_precision,album_name,recency_score,album_image,preview_url,external_url,spotify_url
The Moment,Kenny G,,2020-01-01,year,The Moment,0.4241,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/37/b8/97/37b89765-3b87-ab59-aa29-faf573aa4b41/mzi.fubdwioq.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/45/9e/21/459e2134-2741-0dc7-bc02-33b7ac577a9d/mzaf_9369628981391811012.plus.aac.p.m4a,https://open.spotify.com/search/The%20Moment%20Kenny%20G,https://open.spotify.com/search/The%20Moment%20Kenny%20G
Miserere - Live,Luciano Pavarotti;Zucchero,,2020-01-01,year,Pavarotti - The Greatest Hits,0.4241,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/2e/7b/9c/2e7b9c05-38bb-27ca-9fd0-895c5a9fcea3/19UMGIM40152.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/68/da/94/68da945b-5fd0-bf1e-edfa-612d1ccc9801/mzaf_1900696865978856985.plus.aac.p.m4a,https://open.spotify.com/search/Miserere%20-%20Live%20Luciano%20Pavarotti%3BZucchero,https://open.spotify.com/search/Miserere%20-%20Live%20Luciano%20Pavarotti%3BZucchero
Be Still My Soul (In You I Rest),Kari Jobe,,2020-01-01,year,Be Still My Soul (In You I Rest) - Single,0.4241,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/d2/f1/8f/d2f18fb7-2271-3620-e5ac-4e25091460df/05099998433353.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c2/18/bf/c218bf1c-d1c9-3a1c-bfba-1d469db4bf04/mzaf_2454100391464926148.plus.aac.p.m4a,https://open.spotify.com/search/Be%20Still%20My%20Soul%20%28In%20You%20I%20Rest%29%20Kari%20Jobe,https://open.spotify.com/search/Be%20Still%20My%20Soul%20%28In%20You%20I%20Rest%29%20Kari%20Jobe
Bone Jodi Phutlo Kusum,Anupam Roy,,2020-01-01,year,Bone Jodi Phutlo Kusum - Single,0.4241,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/77/53/3b/77533b00-6f5d-7200-9b2a-4c75d9b685a8/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/cf/61/5f/cf615faf-7d6c-d0cd-f675-8db2a1291fc6/mzaf_10451550834735599348.plus.aac.p.m4a,https://open.spotify.com/search/Bone%20Jodi%20Phutlo%20Kusum%20Anupam%20Roy,https://open.spotify.com/search/Bone%20Jodi%20Phutlo%20Kusum%20Anupam%20Roy
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri;Steve Kazee,,2020-01-01,year,The Twilight Saga: Breaking Dawn - Pt. 1 (Original Motion Picture Soundtrack),0.4241,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/c9/6e/21/c96e2143-8f84-2ea5-0528-37205f7d5c6d/mzi.jdvbfvnj.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/2b/8d/27/2b8d2799-1d11-54dd-b365-55249fae29af/mzaf_7238774573055986625.plus.aac.p.m4a,https://open.spotify.com/search/A%20Thousand%20Years%20%28feat.%20Steve%20Kazee%29%20-%20Pt.%202%3B%20The%20Twilight%20Saga%3A%20Breaking%20Dawn%20Soundtrack%20Christina%20Perri%3BSteve%20Kazee,https://open.spotify.com/search/A%20Thousand%20Years%20%28feat.%20Steve%20Kazee%29%20-%20Pt.%202%3B%20The%20Twilight%20Saga%3A%20Breaking%20Dawn%20Soundtrack%20Christina%20Perri%3BSteve%20Kazee
Vou Deixar na Cruz,Cassiane,,2020-01-01,year,Não Posso Desistir - EP,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/ee/d5/19/eed519e9-5f35-720b-31f1-c94a10ec28cc/Nao_Posso_Desistir_Copy.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/f8/18/80/f81880d8-7514-47fc-0878-ccf3c9e81b5e/mzaf_3110742452900009193.plus.aac.p.m4a,https://open.spotify.com/search/Vou%20Deixar%20na%20Cruz%20Cassiane,https://open.spotify.com/search/Vou%20Deixar%20na%20Cruz%20Cassiane
Ennodu Nee Irundhaal,A.R. Rahman;Sid Sriram;Sunitha Sarathy,,2020-01-01,year,I (Original Motion Picture Soundtrack),0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/13/7c/8e/137c8ec0-3d24-e09b-fd29-50a0773bf9f4/886444840590.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f4/91/a7/f491a7f0-a998-a156-f7eb-a961e4083648/mzaf_16764182910405484626.plus.aac.p.m4a,https://open.spotify.com/search/Ennodu%20Nee%20Irundhaal%20A.R.%20Rahman%3BSid%20Sriram%3BSunitha%20Sarathy,https://open.spotify.com/search/Ennodu%20Nee%20Irundhaal%20A.R.%20Rahman%3BSid%20Sriram%3BSunitha%20Sarathy
Alvida,Pritam;KK,,2020-01-01,year,Life In a Metro (Original Motion Picture Soundtrack),0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/91/38/c3/9138c3d7-941c-3298-49c4-1286f4216bbc/888880945457.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/82/9f/6a/829f6ace-103a-bafd-283e-11f6ab87f7c9/mzaf_5648719144770705200.plus.aac.p.m4a,https://open.spotify.com/search/Alvida%20Pritam%3BKK,https://open.spotify.com/search/Alvida%20Pritam%3BKK
Dos Amantes,Cristian,,2020-01-01,year,Azul,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music/c7/b7/12/mzi.bipbjtqn.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b6/b0/6f/b6b06f19-a48d-3262-f329-813ac2d88670/mzaf_8185439394031501148.plus.aac.p.m4a,https://open.spotify.com/search/Dos%20Amantes%20Cristian,https://open.spotify.com/search/Dos%20Amantes%20Cristian
Miracle,Jor'dan Armstrong;Lowell Pye,,2020-01-01,year,Blsd (Deluxe),0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/4d/b1/06/4db1066a-73dc-63b2-757c-e146ef08231a/859728331824_cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/73/fd/d0/73fdd0cb-9a64-a5cc-6418-f2ea9e9e5b9c/mzaf_6979802051372398842.plus.aac.p.m4a,https://open.spotify.com/search/Miracle%20Jor%27dan%20Armstrong%3BLowell%20Pye,https://open.spotify.com/search/Miracle%20Jor%27dan%20Armstrong%3BLowell%20Pye
